acc1,acc5,mean_per_class_recall,dataset,model,pretrained,task,language,image_retrieval_recall@5,text_retrieval_recall@5,mean_average_precision,model_fullname
0.7450944333082001,0.9573900730088089,0.7482727411898785,sun397,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.7301066006245289,0.8953914073435986,0.7175575825691642,objectnet,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.10814814814814815,0.5305349794238683,0.10766972756539461,vtab/smallnorb_label_elevation,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.16766666666666666,0.8819333333333333,0.1954414937508546,vtab/clevr_closest_object_distance,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.9214,0.9807333333333333,0.9091345505737809,imagenet-r,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.6957142857142857,0.9571428571428572,0.706242238089474,vtab/resisc45,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.80098,0.96038,0.80098,imagenet1k,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
,,,flickr8k,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_retrieval,,0.745371401309967,0.8561364412307739,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.2784,0.8929333333333334,0.2563239722391655,vtab/clevr_count_all,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.8020816392909416,0.9253537160513905,0.7985485908748879,vtab/flowers,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
,,,voc2007_multilabel,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,0.8073175549507141,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.697049639280715,0.877516959190266,0.6846202591899297,objectnet,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.692962962962963,0.9887037037037038,0.692719126092187,vtab/eurosat,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
,,,flickr30k,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_retrieval,en,0.9495999813079834,0.9929999709129333,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.8932,0.9735333333333334,0.8804663010091829,imagenet-r,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.6892452199886027,0.8930810194737566,0.6895172549019608,imagenet_sketch,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.9824,0.9998,0.9823999999999999,vtab/cifar10,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.53631591796875,,0.53614377703907,vtab/pcam,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
